"Match ID","Series","League","Start Date/Time","Match Length","Duration secs","Kills Score","Dummy","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3282839690","146771","5401","30 jun 2017 09:36","33:02","1982","27-16","27,16","Radiant","LGD-GAMING","Yao, Maybe, M99_ JY., old eLeVeN, Ame","EHOME.KEEN","佞臣, Rong, 影, 荧, dark"
"3282763119","146771","5401","30 jun 2017 08:46","27:20","1640","6-26","6,26","Dire","EHOME.KEEN","佞臣, Rong, 影, 荧, dark","LGD-GAMING","Yao, Maybe, M99_ JY., old eLeVeN, Ame"
"3282621169","146757","5401","30 jun 2017 06:59","1:06:10","3970","43-48","43,48","Radiant","LGD-GAMING","Yao, Maybe, M99_ JY., old eLeVeN, Ame","Vici Gaming","Hao, ChuaN, Ori, hym, Yang"
"3282553363","146735","5401","30 jun 2017 06:00","32:40","1960","10-27","10,27","Dire","Team Freedom","Sneyking, STAN KING, Yawar, CCnC, FLeee","Digital Chaos","BuLba, Forev, DuBu, Abed, mason"
"3282551966","146757","5401","30 jun 2017 05:59","36:40","2200","20-30","20,30","Dire","Vici Gaming","Hao, ChuaN, Ori, hym, Yang","LGD-GAMING","Yao, Maybe, M99_ JY., old eLeVeN, Ame"
"3282475291","146735","5401","30 jun 2017 04:48","43:01","2581","15-32","15,32","Dire","Team Freedom","Sneyking, STAN KING, Yawar, CCnC, FLeee","Digital Chaos","BuLba, Forev, DuBu, Abed, mason"
"3282412777","146735","5401","30 jun 2017 03:46","34:21","2061","23-18","23,18","Dire","Team Freedom","Sneyking, STAN KING, Yawar, CCnC, FLeee","Digital Chaos","BuLba, Forev, DuBu, Abed, mason"
"3282333669","146719","5401","30 jun 2017 02:13","34:49","2089","9-33","9,33","Dire","compLexity Gaming","melonzz, Zfreek, Moo, DeMoN, Feero","Digital Chaos","BuLba, Forev, DuBu, Abed, mason"
"3282300073","146717","5401","30 jun 2017 01:27","48:27","2907","30-37","30,37","Dire","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo","Infamous、","Timado, Accel, Matthew, Benjaz, Kingteka"
"3282263076","146719","5401","30 jun 2017 12:51","57:22","3442","37-27","37,27","Radiant","Digital Chaos","BuLba, Forev, DuBu, Abed, mason","compLexity Gaming","melonzz, Zfreek, Moo, DeMoN, Feero"
"3282243909","146717","5401","30 jun 2017 12:28","31:47","1907","31-17","31,17","Radiant","Infamous、","Timado, Accel, Matthew, Benjaz, Kingteka","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo"
"3282203829","146719","5401","29 jun 2017 11:45","41:17","2477","23-12","23,12","Radiant","compLexity Gaming","melonzz, Zfreek, Moo, DeMoN, Feero","Digital Chaos","BuLba, Forev, DuBu, Abed, mason"
"3282193242","146717","5401","29 jun 2017 11:34","30:30","1830","8-24","8,24","Dire","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo","Infamous、","Timado, Accel, Matthew, Benjaz, Kingteka"
"3282102427","146689","5401","29 jun 2017 10:14","39:39","2379","30-17","30,17","Radiant","compLexity Gaming","melonzz, Zfreek, Moo, DeMoN, Feero","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3282062366","146682","5401","29 jun 2017 09:42","46:18","2778","30-23","30,23","Radiant","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo","Midas Club Elite","peco, FuckinEh, LESLÃO, Thiolicor, M-GOD"
"3282010340","146689","5401","29 jun 2017 09:02","47:29","2849","26-17","26,17","Radiant","compLexity Gaming","melonzz, Zfreek, Moo, DeMoN, Feero","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3281992071","146651","5401","29 jun 2017 08:48","47:26","2846","10-36","10,36","Dire","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","Planet Dog","j4, 33, Swiftending, KaiSeR, MiLAN"
"3281979282","146682","5401","29 jun 2017 08:38","36:24","2184","14-28","14,28","Dire","Midas Club Elite","peco, FuckinEh, LESLÃO, Thiolicor, M-GOD","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo"
"3281917774","146651","5401","29 jun 2017 07:50","33:23","2003","16-32","16,32","Dire","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","Planet Dog","j4, 33, Swiftending, KaiSeR, MiLAN"
"3281853891","146652","5401","29 jun 2017 07:10","32:25","1945","14-35","14,35","Dire","MAD KINGS-","MyStory, Akashi-Seijuro , nash gold jr, sl4d1n-, Unknown","SG e-sports team","c4t, Kingrd, 4dr, hFn, tavo"
"3281806883","146651","5401","29 jun 2017 06:42","37:03","2223","36-15","36,15","Radiant","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","Planet Dog","j4, 33, Swiftending, KaiSeR, MiLAN"
